"score" "preparation" "logdose"
0 1 1.252762968495368
0 1 1.252762968495368
1 1 1.252762968495368
2.75 1 1.252762968495368
2.75 1 1.252762968495368
1.75 1 1.252762968495368
2.75 1 1.252762968495368
2.25 1 1.252762968495368
2.25 1 1.252762968495368
2.5 1 1.252762968495368
1.5 1 1.945910149055313
2.5 1 1.945910149055313
5 1 1.945910149055313
6 1 1.945910149055313
4.25 1 1.945910149055313
2.75 1 1.945910149055313
1.5 1 1.945910149055313
3 1 1.945910149055313
2 1 2.639057329615258
2.5 1 2.639057329615258
5 1 2.639057329615258
4 1 2.639057329615258
5 1 2.639057329615258
4 1 2.639057329615258
2.5 1 2.639057329615258
3.5 1 2.639057329615258
3 1 2.639057329615258
2 1 2.639057329615258
3 1 2.639057329615258
4 1 2.639057329615258
4 1 2.639057329615258
0 2 .9162907318741552
1 2 .9162907318741552
0 2 .9162907318741552
0 2 .9162907318741552
0 2 .9162907318741552
.5 2 .9162907318741552
1 2 1.6094379124341
1.5 2 1.6094379124341
1.5 2 1.6094379124341
1 2 1.6094379124341
1 2 1.6094379124341
.5 2 1.6094379124341
1.5 2 2.302585092994046
1 2 2.302585092994046
2 2 2.302585092994046
3.5 2 2.302585092994046
2 2 2.302585092994046
0 2 2.302585092994046
3 2 2.995732273553991
3 2 2.995732273553991
5.5 2 2.995732273553991
2.5 2 2.995732273553991
1 2 2.995732273553991
2 2 2.995732273553991
3.5 2 3.688879454113936
3.5 2 3.688879454113936
4.5 2 3.688879454113936
3.5 2 3.688879454113936
3.5 2 3.688879454113936
3 2 3.688879454113936
2.75 3 .9162907318741552
2 3 .9162907318741552
1.25 3 .9162907318741552
2 3 .9162907318741552
0 3 .9162907318741552
.5 3 .9162907318741552
2.5 3 1.6094379124341
2.75 3 1.6094379124341
2.25 3 1.6094379124341
2.25 3 1.6094379124341
3.75 3 1.6094379124341
3.75 3 2.302585092994046
5.25 3 2.302585092994046
6 3 2.302585092994046
5.5 3 2.302585092994046
2.25 3 2.302585092994046
3.5 3 2.302585092994046
